Data,Wartosc biezaca,Wartosc poprzednia,Roznica
2021-10-28,184767.98504,178125.26482,6642.720219999988
2021-10-30,187728.01848,187728.01848,0.0
2021-10-31,187728.01848,187728.01848,0.0
2021-11-01,187728.01848,187728.01848,0.0
2021-11-02,190111.35012800002,187728.01848,2383.3316480000212
2021-11-03,188203.772,190111.35012800002,-1907.5781280000228
2021-11-04,191639.536731,188203.772,3435.764731000003
2021-11-05,192555.104345,191639.536731,915.5676139999996
2021-11-06,192555.104345,192555.104345,0.0
2021-11-07,192555.104345,192555.104345,0.0
2021-11-08,192914.51235,192555.104345,359.4080050000048
2021-11-09,192009.32106800002,192914.51235,-905.1912819999852
2021-11-10,189792.959289,192009.32106800002,-2216.361779000028
2021-11-11,189792.959289,189792.959289,0.0
2021-11-12,188240.266724,189792.959289,-1552.6925650000048
2021-11-13,188240.266724,188240.266724,0.0
2021-11-14,188240.266724,188240.266724,0.0
2021-11-15,188103.07671,188240.266724,-137.19001399999252
2021-11-16,189274.71918000001,188103.07671,1171.6424700000207
2021-11-17,189389.305438,189274.71918000001,114.58625799999572
2021-11-18,188488.45606400003,189389.305438,-900.8493739999831
2021-11-19,186525.39202,188488.45606400003,-1963.064044000028
2021-11-20,186525.39202,186525.39202,0.0
2021-11-21,186525.39202,186525.39202,0.0
2021-11-22,184792.27555,186525.39202,-1733.1164700000081
2021-11-23,184588.46253000002,184792.27555,-203.8130199999723
2021-11-24,185690.01773000002,184588.46253000002,1101.5552000000025
2021-11-25,185247.45486400003,185690.01773000002,-442.56286599999294
2021-11-26,178223.60588,185247.45486400003,-7023.84898400004
2021-11-27,178361.30588,178223.60588,137.70000000001164
2021-11-28,178361.30588,178361.30588,0.0
2021-11-29,178354.800364,178361.30588,-6.505516000004718
2021-11-30,183417.801148,178354.800364,5063.0007840000035
2021-12-01,187465.485668,183417.801148,4047.68452000001
2021-12-02,188585.524444,187465.485668,1120.0387760000012
2021-12-03,188750.123964,188585.524444,164.59951999998884
2021-12-04,188750.123964,188750.123964,0.0
2021-12-05,188750.123964,188750.123964,0.0
2021-12-06,186854.71,188750.123964,-1895.4139640000067
2021-12-07,189276.06000000003,186854.71,2421.350000000035
2021-12-08,189214.3,189276.06000000003,-61.76000000003842
2021-12-09,190024.7,189214.3,810.4000000000233
2021-12-10,190653.95,190024.7,629.25
2021-12-11,190653.95,190653.95,0.0
2021-12-12,196336.88653000002,190653.95,5682.936530000006
2021-12-13,195192.23627999998,196336.88653000002,-1144.6502500000352
2021-12-14,192672.685464,195192.23627999998,-2519.5508159999736
2021-12-15,190505.566384,192672.685464,-2167.119080000004
2021-12-16,192241.32134,190505.566384,1735.7549559999898
2021-12-17,189316.745944,192241.32134,-2924.575396
2021-12-18,189316.745944,189316.745944,0.0
2021-12-19,189316.745944,189316.745944,0.0
2021-12-20,186854.383288,189316.745944,-2462.362655999983
